Date,HomeTeam,AwayTeam,H,D,A,O25,Div,kaynak,FTHG,FTAG,home_n,away_n,FTR,Over25,BTTS
2026-09-16,Telavi,Shturmi,1.71,3.18,4.64,,Crystalbet Erovnuli Liga 2,soccerbets,1.0,1.0,telavi,shturmi,D,0.0,1.0
2026-09-16,Brozany,Pardubice B,3.45,3.71,1.88,,3. Cfl - Group B,soccerbets,0.0,1.0,brozany,pardubice b,A,0.0,0.0
2026-09-16,Zapy,Liberec B,1.17,6.93,10.72,,3. Cfl - Group B,soccerbets,2.0,1.0,zapy,liberec b,H,1.0,1.0
2026-09-16,Ben Guerdane,CS Sfaxien,3.35,2.57,2.56,,Ligue Professionnelle 1,soccerbets,1.0,1.0,ben guerdane,cs sfaxien,D,0.0,1.0
2026-09-16,Zarzis,Monastir,2.62,2.48,3.42,,Ligue Professionnelle 1,soccerbets,1.0,2.0,zarzis,monastir,A,1.0,1.0
2026-09-16,Turris,Gravina,2.39,3.09,2.72,,Serie D - Group H,soccerbets,0.0,0.0,turris,gravina,D,0.0,0.0
2026-09-16,Rodina Moscow,Rubin Kazan,3.42,3.32,2.27,,Premier League,soccerbets,1.0,1.0,rodina moscow,rubin kazan,D,0.0,1.0
2026-09-16,Spartak Moscow,Fakel Voronezh,1.34,5.34,9.57,,Premier League,soccerbets,1.0,0.0,spartak moscow,fakel voronezh,H,0.0,0.0
2026-09-16,Zalgiris,Kauno Zalgiris,3.05,3.44,2.25,,Toplyga,soccerbets,3.0,2.0,zalgiris,kauno zalgiris,H,1.0,1.0
2026-09-16,Paide,Parnu JK Vaprus,1.59,3.83,5.75,,Meistriliiga,soccerbets,2.0,0.0,paide,parnu jk vaprus,H,0.0,0.0
2026-09-16,Auda,Ogre United,1.23,6.56,10.1,,Virsliga,soccerbets,1.0,0.0,auda,ogre united,H,0.0,0.0
2026-09-16,Lok. Sofia,CSKA Sofia,6.58,4.8,1.43,,Efbet League,soccerbets,0.0,2.0,lok sofia,cska sofia,A,0.0,0.0
2026-09-16,Napredak,Vrsac,1.83,3.13,4.05,,Mozzart Bet Prva Liga,soccerbets,1.0,2.0,napredak,vrsac,A,1.0,1.0
2026-09-16,Vozdovac,Jedinstvo U.,1.61,3.6,4.7,,Mozzart Bet Prva Liga,soccerbets,1.0,0.0,vozdovac,jedinstvo u,H,0.0,0.0
2026-09-16,Triglav,Brezice,1.26,5.6,7.09,,2. Snl,soccerbets,4.0,0.0,triglav,brezice,H,1.0,0.0
2026-09-16,Sloga Meridian,Borac Banja Luka,7.06,4.23,1.43,,Wwin Liga Bih,soccerbets,1.0,2.0,sloga meridian,borac banja luka,A,1.0,1.0
2026-09-16,Schoningen,SC Weiche-08,2.57,3.68,2.4,,Regionalliga North,soccerbets,2.0,1.0,schoningen,weiche 08,H,1.0,1.0
2026-09-16,Dubocica,Teleoptik,2.25,3.25,2.79,,Mozzart Bet Prva Liga,soccerbets,2.0,0.0,dubocica,teleoptik,H,0.0,0.0
2026-09-16,AC Milan U23,Brusaporto,1.74,3.54,3.47,,Serie D - Group B,soccerbets,2.0,1.0,milan u23,brusaporto,H,1.0,1.0
2026-09-16,Al Hussein,East Bengal,1.42,3.8,6.83,,Afc Champions League 2,soccerbets,2.0,2.0,al hussein,east bengal,D,1.0,1.0
2026-09-16,Al Khalidiyah,Nasaf Qarshi,1.95,3.08,3.62,,Afc Champions League 2,soccerbets,0.0,0.0,al khalidiyah,nasaf qarshi,D,0.0,0.0
2026-09-16,Al Nahda,Al Taawon,4.46,2.93,1.83,,Afc Champions League 2,soccerbets,1.0,1.0,al nahda,al taawon,D,0.0,1.0
2026-09-16,Al Wahda,Al Kuwait,1.37,4.27,6.72,,Afc Champions League 2,soccerbets,3.0,2.0,al wahda,al kuwait,H,1.0,1.0
2026-09-16,Arendal,Sandnes,2.7,3.64,2.31,,Nm Cup,soccerbets,1.0,2.0,arendal,sandnes,A,1.0,1.0
2026-09-16,Brattvag,Kristiansund,3.5,3.86,1.87,,Nm Cup,soccerbets,1.0,2.0,brattvag,kristiansund,A,1.0,1.0
2026-09-16,Elverum,Raufoss,3.42,4.06,1.74,,Nm Cup,soccerbets,0.0,3.0,elverum,raufoss,A,1.0,0.0
2026-09-16,Gamle Oslo,Lyn,8.22,6.57,1.19,,Nm Cup,soccerbets,1.0,3.0,gamle oslo,lyn,A,1.0,1.0
2026-09-16,Jerv,Egersund,4.36,5.04,1.47,,Nm Cup,soccerbets,1.0,2.0,jerv,egersund,A,1.0,1.0
2026-09-16,Kjelsas,HamKam,6.2,5.74,1.35,,Nm Cup,soccerbets,0.0,2.0,kjelsas,hamkam,A,0.0,0.0
2026-09-16,Notodden,Odd,3.29,3.6,2.01,,Nm Cup,soccerbets,2.0,3.0,notodden,odd,A,1.0,1.0
2026-09-16,Vindbjart,Start,11.39,6.99,1.12,,Nm Cup,soccerbets,2.0,3.0,vindbjart,start,A,1.0,1.0
2026-09-16,AB Copenhagen,Sonderjyske,4.53,4.05,1.64,,Betano Pokalen,soccerbets,3.0,1.0,ab copenhagen,sonderjyske,H,1.0,1.0
2026-09-16,Norderstedt,Hannoverscher SC,2.02,3.79,3.12,,Regionalliga North,soccerbets,3.0,3.0,norderstedt,hannoverscher,D,1.0,1.0
2026-09-16,Grosseto,Campobasso,2.83,3.24,2.49,,Serie C - Group B,soccerbets,2.0,2.0,grosseto,campobasso,D,1.0,1.0
2026-09-16,Latina,Guidonia,2.32,2.92,3.43,,Serie C - Group B,soccerbets,1.0,1.0,latina,guidonia,D,0.0,1.0
2026-09-16,Ostiamare,Ravenna,4.7,3.59,1.75,,Serie C - Group B,soccerbets,0.0,1.0,ostiamare,ravenna,A,0.0,0.0
2026-09-16,Pineto,Forli,2.63,2.9,2.96,,Serie C - Group B,soccerbets,1.0,1.0,pineto,forli,D,0.0,1.0
2026-09-16,Sambenedettese,Atalanta U23,2.73,3.4,2.48,,Serie C - Group B,soccerbets,2.0,3.0,sambenedettese,atalanta u23,A,1.0,1.0
2026-09-16,Torres,Pianese,2.05,3.06,4.0,,Serie C - Group B,soccerbets,2.0,1.0,torres,pianese,H,1.0,1.0
2026-09-16,Pro Sesto,Pontedera,1.78,3.3,4.04,,Serie D - Group D,soccerbets,3.0,0.0,pro sesto,pontedera,H,1.0,0.0
2026-09-16,Nitra,Slovan Bratislava,10.45,6.25,1.17,,Slovak Cup,soccerbets,1.0,3.0,nitra,slovan bratislava,A,1.0,1.0
2026-09-16,Omonia,Celta Vigo,4.8,3.41,1.88,,Europa League - League Phase,soccerbets,1.0,0.0,omonia,celta vigo,H,0.0,0.0
2026-09-16,Union Omaha,Spokane Velocity,1.98,3.59,3.39,,Usl League One,soccerbets,3.0,1.0,union omaha,spokane velocity,H,1.0,1.0
2026-09-16,AIK,Mjallby,2.27,3.67,3.03,,Allsvenskan,soccerbets,1.0,1.0,aik,mjallby,D,0.0,1.0
2026-09-16,Hassleholms IF,AFC Malmo,2.77,3.8,2.2,,Division 1 - Södra,soccerbets,2.0,0.0,hassleholms if,malmo,H,0.0,0.0
2026-09-16,Jonkoping,Atvidaberg,2.4,2.91,3.16,,Division 1 - Södra,soccerbets,1.0,0.0,jonkoping,atvidaberg,H,0.0,0.0
2026-09-16,Lunds,Angelholm,1.41,4.89,6.16,,Division 1 - Södra,soccerbets,2.0,0.0,lunds,angelholm,H,0.0,0.0
2026-09-16,Utsikten,Laholms,3.63,3.85,1.84,,Division 1 - Södra,soccerbets,0.0,0.0,utsikten,laholms,D,0.0,0.0
2026-09-16,Karlstad,FBK Karlstad,1.79,3.76,3.92,,Division 1 - Norra,soccerbets,0.0,0.0,karlstad,fbk karlstad,D,0.0,0.0
2026-09-16,Pitea,Umea FC,2.55,3.79,2.37,,Division 1 - Norra,soccerbets,0.0,2.0,pitea,umea,A,0.0,0.0
2026-09-16,Kubikenborgs,Lucksta,1.3,4.82,6.56,,Division 2 - Norrland - Promotion Group,soccerbets,4.0,2.0,kubikenborgs,lucksta,H,1.0,1.0
2026-09-16,Boden,IFK Lulea,4.18,3.67,1.63,,Division 2 - Norrland - Promotion Group,soccerbets,1.0,0.0,boden,ifk lulea,H,0.0,0.0
2026-09-16,Atl. Madrid,Osasuna,1.33,5.35,10.75,,Laliga,soccerbets,4.0,0.0,atl madrid,osasuna,H,1.0,0.0
2026-09-16,Dep. A Coruna,Sevilla,2.79,3.09,2.9,,Laliga,soccerbets,0.0,1.0,dep a coruna,sevilla,A,0.0,0.0
2026-09-16,Fortuna Koln,Wehen,2.85,3.5,2.42,,3. Liga,soccerbets,0.0,2.0,fortuna koln,wehen,A,0.0,0.0
2026-09-16,Hansa Rostock,Stuttgart II,1.5,4.56,5.89,,3. Liga,soccerbets,3.0,2.0,hansa rostock,stuttgart ii,H,1.0,1.0
2026-09-16,Ingolstadt,Hoffenheim II,1.96,3.96,3.46,,3. Liga,soccerbets,1.0,2.0,ingolstadt,hoffenheim ii,A,1.0,1.0
2026-09-16,Mannheim,RW Essen,3.25,3.5,2.19,,3. Liga,soccerbets,1.0,2.0,mannheim,rw essen,A,1.0,1.0
2026-09-16,Preussen Munster,Saarbrucken,2.92,3.59,2.33,,3. Liga,soccerbets,3.0,3.0,preussen munster,saarbrucken,D,1.0,1.0
2026-09-16,Chemnitzer,Babelsberg,1.57,4.49,4.28,,Regionalliga Nordost,soccerbets,0.0,1.0,chemnitzer,babelsberg,A,0.0,0.0
2026-09-16,Ghazl El Mahallah,Zamalek,4.68,2.99,1.99,,Premier League,soccerbets,0.0,1.0,ghazl el mahallah,zamalek,A,0.0,0.0
2026-09-16,Atromitos,PAOK,4.68,3.43,1.75,,Greek Cup,soccerbets,0.0,1.0,atromitos,paok,A,0.0,0.0
2026-09-16,Vendsyssel,Randers FC,3.77,3.59,1.87,,Betano Pokalen,soccerbets,1.0,3.0,vendsyssel,randers,A,1.0,1.0
2026-09-16,Dusheti,Odishi 1919,1.56,4.14,4.07,,Crystalbet Erovnuli Liga 2,soccerbets,0.0,1.0,dusheti,odishi 1919,A,0.0,0.0
2026-09-16,Gefle,Arlanda,2.12,3.62,3.04,,Division 1 - Norra,soccerbets,0.0,2.0,gefle,arlanda,A,0.0,0.0
2026-09-16,Sollentuna,Enkoping SK,2.22,3.53,2.9,,Division 1 - Norra,soccerbets,2.0,3.0,sollentuna,enkoping,A,1.0,1.0
2026-09-16,Comillas,Sestao,13.33,5.16,1.19,,Copa Federacion,soccerbets,1.0,2.0,comillas,sestao,A,1.0,1.0
2026-09-16,Terrassa,Binefar,1.31,4.76,7.34,,Copa Federacion,soccerbets,4.0,0.0,terrassa,binefar,H,1.0,0.0
2026-09-16,Baltika,Zenit,4.58,3.61,1.85,,Premier League,soccerbets,2.0,3.0,baltika,zenit,A,1.0,1.0
2026-09-16,Lokomotiv Moscow,Krylya Sovetov,1.95,3.8,3.86,,Premier League,soccerbets,1.0,1.0,lokomotiv moscow,krylya sovetov,D,0.0,1.0
2026-09-16,Sampaio Correa FE,Madureira,2.05,2.86,3.62,,Copa Rio,soccerbets,1.0,1.0,sampaio correa fe,madureira,D,0.0,1.0
2026-09-16,Derio,Salamanca,3.17,3.09,2.11,,Copa Federacion,soccerbets,3.0,5.0,derio,salamanca,A,1.0,1.0
2026-09-16,San Martin S.J.,Tristan Suarez,2.22,2.94,3.86,,Primera Nacional,soccerbets,0.0,0.0,san martin s j,tristan suarez,D,0.0,0.0
2026-09-16,Sao Paulo U20,Uniao Sao Joao U20,1.07,9.14,17.28,,Paulista U20,soccerbets,1.0,0.0,sao paulo u20,uniao sao joao u20,H,0.0,0.0
2026-09-16,Borac 1926,Metalac,1.7,3.03,5.17,,Mozzart Bet Prva Liga,soccerbets,1.0,2.0,borac 1926,metalac,A,1.0,1.0
2026-09-16,Bissen,Wiltz,1.21,6.24,8.98,,Bgl Ligue,soccerbets,4.0,2.0,bissen,wiltz,H,1.0,1.0
2026-09-16,Differdange,Hesperange,1.03,10.84,14.5,,Bgl Ligue,soccerbets,3.0,0.0,differdange,hesperange,H,1.0,0.0
