Date,HomeTeam,AwayTeam,H,D,A,O25,Div,kaynak,FTHG,FTAG,home_n,away_n,FTR,Over25,BTTS
2026-09-16,H. Beer Sheva,Din. Zagreb,4.41,3.8,1.83,,Europa League - League Phase,soccerbets,0.0,0.0,h beer sheva,din zagreb,D,0.0,0.0
2026-09-16,Olympiacos Piraeus,Jagiellonia,1.35,5.19,9.63,,Europa League - League Phase,soccerbets,2.0,1.0,olympiacos piraeus,jagiellonia,H,1.0,1.0
2026-09-16,Barcelona,Racing Santander,1.07,16.0,31.0,,Laliga,soccerbets,7.0,2.0,barcelona,racing santander,H,1.0,1.0
2026-09-16,Cuenca Juniors,San Antonio,1.69,3.38,5.23,,Serie B - Promotion Group,soccerbets,1.0,0.0,cuenca juniors,san antonio,H,0.0,0.0
2026-09-16,Portuguesa,Estudiantes Merida,2.57,2.66,3.19,,Liga Futve - Clausura,soccerbets,2.0,1.0,portuguesa,estudiantes merida,H,1.0,1.0
2026-09-16,Hartford Athletic,Sporting Jax,1.53,4.62,5.42,,Usl Championship,soccerbets,2.0,0.0,hartford athletic,sporting jax,H,0.0,0.0
2026-09-16,Nacional Potosi,Always Ready,2.69,3.28,2.41,,Division Profesional,soccerbets,0.0,4.0,nacional potosi,always ready,A,1.0,0.0
2026-09-16,Atletico-MG,Santos,1.93,3.49,4.23,,Copa Sudamericana - Play Offs,soccerbets,5.0,2.0,atletico mg,santos,H,1.0,1.0
2026-09-16,LDU Quito,Palmeiras,2.57,3.05,3.11,,Copa Libertadores - Play Offs,soccerbets,3.0,3.0,ldu quito,palmeiras,D,1.0,1.0
2026-09-16,Ind. Rivadavia,Atl. Tucuman,2.37,2.82,3.47,,Copa Argentina,soccerbets,1.0,2.0,ind rivadavia,atl tucuman,A,1.0,1.0
2026-09-16,Monagas,Zamora,1.62,3.71,5.16,,Liga Futve - Clausura,soccerbets,1.0,0.0,monagas,zamora,H,0.0,0.0
2026-09-16,Botafogo RJ,Gremio,1.79,3.77,4.72,,Serie A Betano,soccerbets,3.0,2.0,botafogo rj,gremio,H,1.0,1.0
2026-09-16,Chattanooga Red Wolves,Forward Madison,1.92,4.03,3.24,,Usl League One,soccerbets,1.0,0.0,chattanooga red wolves,forward madison,H,0.0,0.0
2026-09-16,Westchester SC,Richmond Kickers,1.79,3.45,4.36,,Usl League One,soccerbets,5.0,2.0,westchester,richmond kickers,H,1.0,1.0
2026-09-16,Columbus Crew,Orlando City,2.02,3.99,3.38,,Us Open Cup,soccerbets,2.0,1.0,columbus crew,orlando city,H,1.0,1.0
2026-09-16,CF Montreal,Vancouver Whitecaps,4.22,3.35,1.8,,Championship,soccerbets,2.0,1.0,montreal,vancouver whitecaps,H,1.0,1.0
